,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
308519,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.52989,-61.49352,31.8
308520,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.51593,-61.52347,5.7
308521,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,4.0,0.0,0.29,-13.30753,-62.01012,51.1
308522,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,ALTA FLORESTA D'OESTE,Amazônia,3.0,0.0,1.0,-13.04301,-62.29161,4.2
308523,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,ALTA FLORESTA D'OESTE,Amazônia,3.0,0.0,0.27,-12.95646,-62.13288,5.9
308524,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO ALEGRE DOS PARECIS,Amazônia,4.0,0.0,0.28,-12.75131,-61.85009,6.0
308525,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.48,-12.43847,-63.45594,67.7
308526,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.34,-12.43714,-63.44613,37.0
308527,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.54,-12.42923,-63.45724,25.1
308528,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,3.0,0.0,0.22,-12.42922,-63.88558,9.0
308529,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.45,-12.42791,-63.44744,21.6
308530,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.55,-12.41999,-63.45855,28.8
308531,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.53,-12.41867,-63.44875,6.1
308532,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.56,-12.41075,-63.45985,19.2
308533,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.43,-12.40151,-63.46115,6.6
308534,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.43,-12.38303,-63.46377,11.6
308535,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.41,-12.38051,-63.37454,16.3
308536,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.38,-12.37379,-63.46508,30.9
308537,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.6,-12.37249,-63.45528,11.7
308538,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.37,-12.37131,-63.37584,7.5
308539,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.34,-12.36455,-63.46638,10.2
308540,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.51,-12.3634,-63.38689,26.2
308541,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.53,-12.36325,-63.45658,58.4
308542,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.48,-12.36196,-63.44679,4.9
308543,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.55,-12.35548,-63.39795,122.0
308544,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.45,-12.35419,-63.38819,46.9
308545,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.56,-12.34899,-63.40475,119.2
308546,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.42,-12.34766,-63.395,173.5
308547,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.27,-12.3411,-63.41578,23.9
308548,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.44,-12.33978,-63.40604,86.4
308549,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.51,-12.33845,-63.39631,79.0
308550,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,3.0,0.0,0.31,-12.31872,-63.38918,4.8
308551,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,1.0,0.0,0.16,-12.21627,-60.42149,3.8
308552,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,1.0,0.0,0.16,-12.20739,-60.41951,5.1
308553,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,4.0,0.0,0.47,-12.11898,-64.10003,5.2
308554,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,3.0,0.0,0.8,-11.60394,-65.15275,13.4
308555,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,SERINGUEIRAS,Amazônia,0.0,0.0,0.44,-11.56205,-63.0311,9.8
308556,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CACOAL,Amazônia,2.0,0.0,1.0,-11.36266,-61.27266,7.0
308557,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,4.0,0.0,0.28,-11.0787,-65.18913,14.0
308558,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,4.0,0.0,0.3,-11.07718,-65.17757,5.2
308559,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,GUAJARÁ-MIRIM,Amazônia,4.0,0.0,0.99,-10.84517,-65.27491,5.2
308560,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia,4.0,0.0,0.29,-10.51573,-64.12131,4.4
308561,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia,3.0,0.0,0.13,-10.50638,-64.12254,6.4
